iter	Logloss
0	0.4179682191
1	0.311914162
2	0.269069812
3	0.2521462303
4	0.2440169065
5	0.239189999
6	0.2368454318
7	0.2355276579
8	0.2344318104
9	0.2337213749
10	0.2331264948
11	0.2325599413
12	0.2320273058
13	0.2316094763
14	0.2312155093
15	0.2308124625
16	0.2305283883
17	0.2301309759
18	0.2298426224
19	0.2295014724
20	0.2293118639
21	0.2290004871
22	0.2286348085
23	0.2281960148
24	0.2280879113
25	0.2278413067
26	0.2274537085
27	0.2271436083
28	0.2267834255
29	0.2264276854
30	0.2261029421
31	0.2258833409
32	0.2257046864
33	0.2254137601
34	0.2251137217
35	0.2248331267
36	0.2246293448
37	0.2243943468
38	0.2241820481
39	0.2240055838
40	0.2237480996
41	0.2235940029
42	0.2233663524
43	0.223176578
44	0.2228671075
45	0.2225990883
46	0.2222404615
47	0.2219870583
48	0.2217164979
49	0.2215608466
50	0.2212797142
51	0.2209628335
52	0.2206645055
53	0.2203464014
54	0.2200611533
55	0.2198317646
56	0.2197206274
57	0.2195559731
58	0.2193096821
59	0.2191163883
60	0.2189217068
61	0.2186774828
62	0.2184699713
63	0.2182843859
64	0.2180755145
65	0.2177874818
66	0.2174671383
67	0.2172066523
68	0.2169555966
69	0.2167262499
70	0.2164768813
71	0.2163444036
72	0.21619286
73	0.2159163316
74	0.2156667841
75	0.2153608915
76	0.2151958261
77	0.2149220484
78	0.2146256078
79	0.2143882702
80	0.2141665707
81	0.2139101784
82	0.2137003403
83	0.2135386313
84	0.2133823205
85	0.2130901402
86	0.2129366074
87	0.2127299485
88	0.2126260027
89	0.2124274065
90	0.2121557288
91	0.2120420366
92	0.2118701318
93	0.2115950856
94	0.2114102492
95	0.2112382277
96	0.2109997091
97	0.2108155365
98	0.210637296
99	0.2103914676
100	0.2101848208
101	0.2099658917
102	0.2097714582
103	0.2096046053
104	0.2094003998
105	0.2091607353
106	0.208915423
107	0.2087684358
108	0.2085659424
109	0.2083239481
110	0.208158592
111	0.2078491665
112	0.2076554481
113	0.2075437142
114	0.2073454814
115	0.2071084831
116	0.2069374342
117	0.2067008672
118	0.2065319442
119	0.2063406106
120	0.2061273079
121	0.2059410022
122	0.2057733885
123	0.2056062764
124	0.2054253692
125	0.2050989137
126	0.2049228271
127	0.2047569946
128	0.2045121599
129	0.2043954202
130	0.2041845151
131	0.2040517809
132	0.2038956154
133	0.2036268442
134	0.2034913972
135	0.2033315155
136	0.2031366144
137	0.2029624581
138	0.2028016959
139	0.2025588323
140	0.2024196717
141	0.2022349557
142	0.2021111379
143	0.2018410707
144	0.2016084016
145	0.2014761342
146	0.2012475894
147	0.2011137758
148	0.2009058454
149	0.2006761749
150	0.2004663539
151	0.2002256376
152	0.20001877
153	0.1997517733
154	0.1994804987
155	0.1993346781
156	0.199164153
157	0.1989582265
158	0.1987884937
159	0.1985284707
160	0.1983190638
161	0.1981189883
162	0.1979759787
163	0.1977669331
164	0.197685543
165	0.1975244859
166	0.1972185126
167	0.196976088
168	0.1967447575
169	0.1966415547
170	0.1964716443
171	0.1962946607
172	0.1959817705
173	0.1957143497
174	0.1956374691
175	0.195507578
176	0.1953643917
177	0.1952343062
178	0.1951533038
179	0.1949663165
180	0.1947948015
181	0.1946371102
182	0.194540173
183	0.1943191109
184	0.1941970886
185	0.1940524901
186	0.193862834
187	0.1937090024
188	0.1936097698
189	0.1934638441
190	0.1933439029
191	0.1931937657
192	0.1930709814
193	0.1928871093
194	0.1928085644
195	0.1926828271
196	0.1925775295
197	0.1924426793
198	0.1922004351
199	0.1920078752
200	0.1918346887
201	0.1916944164
202	0.1915513896
203	0.1914785999
204	0.191383151
205	0.1912332007
206	0.191112945
207	0.1909769743
208	0.1907838069
209	0.1905569031
210	0.1903740087
211	0.1902544126
212	0.1901196755
213	0.1899684112
214	0.1898180862
215	0.1895998691
216	0.1894823871
217	0.1893514146
218	0.189198697
219	0.1890446794
220	0.1888144818
221	0.1886927679
222	0.1884817981
223	0.1883142261
224	0.188117058
225	0.1879468325
226	0.1877939585
227	0.1877026715
228	0.1875976438
229	0.1874538344
230	0.1873461423
231	0.1871855013
232	0.1870572129
233	0.1868918451
234	0.1867777794
235	0.1865986092
236	0.1864677629
237	0.1862719274
238	0.1861633453
239	0.1860434527
240	0.1858884682
241	0.1857972597
242	0.1856106319
243	0.1855080559
244	0.1854504129
245	0.1852916044
246	0.1850988184
247	0.1849456186
248	0.1847466718
249	0.1845888789
250	0.1844501851
251	0.184400421
252	0.1842670733
253	0.1840833488
254	0.1839572806
255	0.1838645866
256	0.1837243598
257	0.1835483965
258	0.1834339175
259	0.1832766974
260	0.1831377807
261	0.1830091784
262	0.1829065703
263	0.1828160836
264	0.1826799213
265	0.1825897713
266	0.182459859
267	0.1822757401
268	0.1821784093
269	0.1821109318
270	0.1819370405
271	0.1817356553
272	0.1815769284
273	0.1813742508
274	0.1812815617
275	0.181145782
276	0.1809394954
277	0.1808237245
278	0.1806909652
279	0.1805951175
280	0.1804313642
281	0.1803259763
282	0.1801821118
283	0.1799894737
284	0.1798097322
285	0.179717102
286	0.1795992236
287	0.1795106128
288	0.1793870273
289	0.179272558
290	0.1790599211
291	0.1789220858
292	0.1787854992
293	0.1787019731
294	0.1785840232
295	0.1784263808
296	0.1782601438
297	0.178132763
298	0.1779685977
299	0.1778182251
300	0.177659108
301	0.1775440219
302	0.1774090931
303	0.1773045268
304	0.1771890517
305	0.1770196677
306	0.1769218859
307	0.1768311904
308	0.1767444568
309	0.1765869484
310	0.1764507554
311	0.1763692352
312	0.1762746254
313	0.1761308754
314	0.1759723857
315	0.1758209869
316	0.1757058982
317	0.1756128479
318	0.1755460271
319	0.1754172481
320	0.1753141739
321	0.1751494063
322	0.1750275931
323	0.1749489313
324	0.1748334365
325	0.1747153015
326	0.1745526526
327	0.1744382674
328	0.1743285493
329	0.174254998
330	0.1741019096
331	0.173987686
332	0.1738267863
333	0.1737117504
334	0.1735697004
335	0.1735103225
336	0.1733807453
337	0.1732482366
338	0.173157994
339	0.1729976041
340	0.1728209243
341	0.1727484934
342	0.1726111279
343	0.1725161672
344	0.1724368058
345	0.1723625387
346	0.1722131879
347	0.1721052181
348	0.171999681
349	0.1718576769
350	0.1717341593
351	0.1716235859
352	0.1715069751
353	0.171453696
354	0.1713471804
355	0.1711899727
356	0.171089239
357	0.1709919397
358	0.1709051656
359	0.1707759446
360	0.1706826504
361	0.1705035157
362	0.1703820715
363	0.1703198583
364	0.1702066049
365	0.1699893882
366	0.1698819954
367	0.1697765076
368	0.1695795355
369	0.1694472556
370	0.1693381267
371	0.1691704979
372	0.1691092684
373	0.1690124831
374	0.1689125137
375	0.1688612383
376	0.1688058609
377	0.1686794992
378	0.1685421267
379	0.1684555476
380	0.1683521795
381	0.1682044698
382	0.1680852876
383	0.1679493762
384	0.1678175609
385	0.1676287039
386	0.1675739188
387	0.1674000203
388	0.1672941426
389	0.1671789775
390	0.1670306399
391	0.1668620094
392	0.1667468227
393	0.1666592933
394	0.1665688502
395	0.1664568751
396	0.1663925128
397	0.1662252193
398	0.1661107399
399	0.1660265769
400	0.165934108
401	0.1657886591
402	0.1656664698
403	0.1655477028
404	0.1653781097
405	0.1651876077
406	0.1650320108
407	0.1648135919
408	0.1647356393
409	0.1646349456
410	0.164550068
411	0.1644786322
412	0.1643924468
413	0.1642599579
414	0.1641147247
415	0.1639114368
416	0.1638489501
417	0.1637382732
418	0.163649018
419	0.1635610924
420	0.1633956352
421	0.163307927
422	0.1632135434
423	0.1630819258
424	0.1629836627
425	0.1628694263
426	0.1627734203
427	0.1626791127
428	0.1625637421
429	0.1624333927
430	0.1622882555
431	0.1621318237
432	0.1620357463
433	0.1619701899
434	0.1618916348
435	0.1618254557
436	0.1617251379
437	0.1616747816
438	0.1615543524
439	0.1614882673
440	0.1613827964
441	0.1612280895
442	0.1610977003
443	0.1609432811
444	0.1608072123
445	0.1606467172
446	0.1605017795
447	0.1604180464
448	0.160301846
449	0.1601643657
450	0.1600534052
451	0.1599712021
452	0.1598707439
453	0.1597458516
454	0.1596274309
455	0.1595691164
456	0.1594645807
